airport,iataCode,location,country
Minneapolis-Saint Paul International Airport,MSP/KMSP,"Fort Snelling, Minnesota",United States
Seattle-Tacoma International Airport,SEA/KSEA,"SeaTac, Washington",United States
Detroit Metropolitan Wayne County Airport,DTW/KDTW,"Detroit, Michigan",United States
Philadelphia International Airport,PHL/KPHI,"Philadelphia, Pennsylvania",United States
Chhatrapati Shivaji International Airport,BOM/VABB,"Mumbai, Maharashtra",India
São Paulo-Guarulhos International Airport,GRU/SBGR,"Guarulhos, São Paulo",Brazil
Ninoy Aquino International Airport,MNL/RPLL,"Pasay/Parañaque, Metro Manila",Philippines
Chengdu Shuangliu International Airport,CTU/ZUUU,"Shuangliu-Wuhou, Chengdu, Sichuan",China
Logan International Airport,BOS/KBOS,"Boston, Massachusetts",United States
Shenzhen Bao'an International Airport,SZX/ZGSZ,"Bao'an, Shenzhen, Guangdong",China
Melbourne Airport,MEL/YMML,"Melbourne, Victoria",Australia
Hartsfield–Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States
Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China
O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States
London Heathrow Airport,LHR/EGLL,"Hillingdon, Greater London, England",United Kingdom
Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan
Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States
Paris-Charles de Gaulle Airport,CDG/LFPG,"Roissy-en-France, Val d'Oise, Île-de-France",France
Dallas-Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States
Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany
Denver International Airport,DEN/KDEN,"Denver, Colorado",United States
Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China
Madrid-Barajas Airport,MAD/LEMD,"Barajas, Madrid",Spain
Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates
John F. Kennedy International Airport,JFK/KJFK,"Queens, New York, New York",United States
Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",Netherlands
Soekarno-Hatta International Airport,CGK/WIII,"Cengkareng, Jakarta, Java",Indonesia
